date,TSLA,earnings flag
2017-12-22,-1.2919998168945312,0
2017-12-26,-1.582000732421875,0
2017-12-27,-1.1300010681152344,0
2017-12-28,0.7439994812011719,1
2017-12-29,-0.8019981384277344,0
2018-01-02,1.8360023498535156,1
2018-01-03,-0.6560020446777344,0
2018-01-04,-0.5260009765625,0
2018-01-05,0.3920021057128906,1
2018-01-08,3.9659957885742188,1
2018-01-09,-0.5439987182617188,0
2018-01-10,0.2220001220703125,1
2018-01-11,0.6299972534179688,1
2018-01-12,-0.3459930419921875,0
2018-01-16,0.7679977416992188,1
2018-01-17,1.4199981689453125,1
2018-01-18,-0.5179977416992188,0
2018-01-19,1.089996337890625,1
2018-01-22,0.3079986572265625,1
2018-01-23,0.246002197265625,1
2018-01-24,-1.3799972534179688,0
2018-01-25,-1.6500015258789062,0
2018-01-26,1.0419998168945312,1
2018-01-29,1.33599853515625,1
2018-01-30,-0.7419967651367188,0
2018-01-31,1.697998046875,1
2018-02-01,-1.0120010375976562,0
2018-02-02,-1.0999984741210938,0
2018-02-05,-2.1240005493164062,0
2018-02-06,0.167999267578125,1
2018-02-07,2.2060012817382812,1
2018-02-08,-5.953998565673828,0
2018-02-09,-0.9620018005371094,0
2018-02-12,1.0620002746582031,1
2018-02-13,1.5860023498535156,1
2018-02-14,-0.2700042724609375,0
2018-02-15,2.3520050048828125,1
2018-02-16,0.28399658203125,1
2018-02-20,-0.1439971923828125,0
2018-02-21,-0.29399871826171875,0
2018-02-22,2.5739974975585938,1
2018-02-23,1.1760025024414062,1
2018-02-26,1.0739974975585938,1
2018-02-27,-1.2860031127929688,0
2018-02-28,-1.58599853515625,0
2018-03-01,-2.4260025024414062,0
2018-03-02,0.8380050659179688,1
2018-03-05,-0.35400390625,0
2018-03-06,-1.029998779296875,0
2018-03-07,0.8199996948242188,1
2018-03-08,-0.6399993896484375,0
2018-03-09,-0.3860015869140625,0
2018-03-12,3.667999267578125,1
2018-03-13,-0.7340011596679688,0
2018-03-14,-3.0419998168945312,0
2018-03-15,-0.20599365234375,0
2018-03-16,-0.850006103515625,0
2018-03-19,-1.5579948425292969,0
2018-03-20,-0.6020011901855469,0
2018-03-21,1.1959991455078125,1
2018-03-22,-1.4860000610351562,0
2018-03-23,-1.5120010375976562,0
2018-03-26,0.5279998779296875,1
2018-03-27,-5.0,0
2018-03-28,-4.279998779296875,0
2018-03-29,1.6700019836425781,1
2018-04-02,-2.7300033569335938,0
2018-04-03,3.0100021362304688,1
2018-04-04,3.881999969482422,1
2018-04-05,3.756000518798828,1
2018-04-06,-1.2840003967285156,0
2018-04-09,-1.9280014038085938,0
2018-04-10,3.0079994201660156,1
2018-04-11,-0.753997802734375,0
2018-04-12,-1.3699989318847656,0
2018-04-13,1.2519989013671875,1
2018-04-16,-1.8260002136230469,0
2018-04-17,-0.7040023803710938,0
2018-04-18,1.1319999694824219,1
2018-04-19,1.3460006713867188,1
2018-04-20,-1.9679985046386719,0
2018-04-23,-1.3740005493164062,0
2018-04-24,0.018001556396484375,1
2018-04-25,-0.5540008544921875,0
2018-04-26,0.9580001831054688,1
2018-04-27,1.720001220703125,1
2018-04-30,-0.03600311279296875,0
2018-05-01,1.2040023803710938,1
2018-05-02,0.24599838256835938,1
2018-05-03,-3.3400001525878906,0
2018-05-04,1.9280014038085938,1
2018-05-07,1.7360000610351562,1
2018-05-08,-0.15999984741210938,0
2018-05-09,0.9759979248046875,1
2018-05-10,-0.365997314453125,0
2018-05-11,-0.7919998168945312,0
2018-05-14,-1.8180007934570312,0
2018-05-15,-1.5580024719238281,0
2018-05-16,0.4600028991699219,1
2018-05-17,-0.38800048828125,0
2018-05-18,-1.5440025329589844,0
2018-05-21,1.5340003967285156,1
2018-05-22,-1.8959999084472656,0
2018-05-23,0.8120002746582031,1
2018-05-24,-0.24399948120117188,0
2018-05-25,0.20000076293945312,1
2018-05-29,0.9819984436035156,1
2018-05-30,1.5920028686523438,1
2018-05-31,-1.3980026245117188,0
2018-06-01,1.417999267578125,1
2018-06-04,0.9840011596679688,1
2018-06-05,-1.1219978332519531,0
2018-06-06,5.673999786376953,1
2018-06-07,-0.6820030212402344,0
2018-06-08,0.31400299072265625,1
2018-06-11,2.8879966735839844,1
2018-06-12,2.134002685546875,1
2018-06-13,0.40200042724609375,1
2018-06-14,2.5879974365234375,1
2018-06-15,0.09000396728515625,1
2018-06-18,2.5319976806640625,1
2018-06-19,-3.6559982299804688,0
2018-06-20,1.9339981079101562,1
2018-06-21,-2.9420013427734375,0
2018-06-22,-2.7760009765625,0
2018-06-25,-0.12400054931640625,0
2018-06-26,1.798004150390625,1
2018-06-27,0.5,1
2018-06-28,1.08599853515625,1
2018-06-29,-1.3960037231445312,0
2018-07-02,-1.5759963989257812,0
2018-07-03,-4.841999053955078,0
2018-07-05,-0.3400001525878906,0
2018-07-06,-0.052001953125,0
2018-07-09,1.9220008850097656,1
2018-07-10,0.7920036315917969,1
2018-07-11,-0.7020034790039062,0
2018-07-12,-0.4500007629394531,0
2018-07-13,0.43199920654296875,1
2018-07-16,-1.753997802734375,0
2018-07-17,2.5180015563964844,1
2018-07-18,0.23199462890625,1
2018-07-19,-0.7239990234375,0
2018-07-20,-1.3299980163574219,0
2018-07-23,-2.076000213623047,0
2018-07-24,-1.1539993286132812,0
2018-07-25,2.2620010375976562,1
2018-07-26,-0.417999267578125,0
2018-07-27,-1.8940010070800781,0
2018-07-30,-1.4020004272460938,0
2018-07-31,1.5939979553222656,1
2018-08-01,0.5400009155273438,1
2018-08-02,9.739997863769531,1
2018-08-03,-0.27399444580078125,0
2018-08-06,-1.2360000610351562,0
2018-08-07,7.515998840332031,1
2018-08-08,-1.8460006713867188,0
2018-08-09,-3.5780029296875,0
2018-08-10,0.608001708984375,1
2018-08-13,0.18399810791015625,1
2018-08-14,-1.753997802734375,0
2018-08-15,-1.7900009155273438,0
2018-08-16,-0.6480026245117188,0
2018-08-17,-5.989997863769531,0
2018-08-20,0.5880012512207031,1
